fclass,name,id,address,city,region,postcode
secondary,Rosemount Viaduct,930,"120 Rosemount Viaduct, Aberdeen, AB25 1NX, Scotland",Aberdeen,Scotland,AB25 1NX
primary,Union Street,361,"131 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH
primary,Union Street,636,"121 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH
footway,Dundas Lane,945,"166 Buchanan Street, Glasgow, G1 2LW, Scotland",Glasgow,Scotland,G1 2LW
unclassified,Stockwell Street,660,"22 Stockwell Street, Glasgow, G1 4RT, Scotland",Glasgow,Scotland,G1 4RT
residential,Queen Street,824,"21 Queen Street, Peterhead, AB42 1TN, Scotland",Peterhead,Scotland,AB42 1TN
pedestrian,Marischal Street,822,"17 Broad Street, Peterhead, AB42 1HY, Scotland",Peterhead,Scotland,AB42 1HY
residential,Erroll Street,825,"1 Erroll Street, Peterhead, AB42 1PU, Scotland",Peterhead,Scotland,AB42 1PU
pedestrian,Thistle Street,821,"10 Thistle Street, Peterhead, AB42 1TD, Scotland",Peterhead,Scotland,AB42 1TD
pedestrian,Marischal Street,825,"1 Erroll Street, Peterhead, AB42 1PU, Scotland",Peterhead,Scotland,AB42 1PU
residential,Back Street,821,"10 Thistle Street, Peterhead, AB42 1TD, Scotland",Peterhead,Scotland,AB42 1TD
tertiary,Dumbarton Road,843,"1-7 Dumbarton Road, Stirling, FK8 2LQ, Scotland",Stirling,Scotland,FK8 2LQ
residential,Love Lane,825,"1 Erroll Street, Peterhead, AB42 1PU, Scotland",Peterhead,Scotland,AB42 1PU
residential,Prince Street,821,"10 Thistle Street, Peterhead, AB42 1TD, Scotland",Peterhead,Scotland,AB42 1TD
unclassified,George Street,902,"90 George Street, Edinburgh, EH2 3DF, Scotland",Edinburgh,Scotland,EH2 3DF
unclassified,George Street,901,"89 George Street, Edinburgh, EH2 3ES, Scotland",Edinburgh,Scotland,EH2 3ES
tertiary,Byron Avenue,927,"1-4 Byron Square, Aberdeen, AB16 7LL, Scotland",Aberdeen,Scotland,AB16 7LL
residential,Byron Square,927,"1-4 Byron Square, Aberdeen, AB16 7LL, Scotland",Aberdeen,Scotland,AB16 7LL
unclassified,Castle Street,542,"26 Castle Street, Edinburgh, EH2 3HT, Scotland",Edinburgh,Scotland,EH2 3HT
pedestrian,Marischal Street,823,"34 Marischal Street, Peterhead, AB42 1HS, Scotland",Peterhead,Scotland,AB42 1HS
secondary,Rosemount Viaduct,364,"13 Rosemount Viaduct, Aberdeen, AB25 1NE, Scotland",Aberdeen,Scotland,AB25 1NE
unclassified,West George Street,262,"85 West George Street, Glasgow, G2 1QG, Scotland",Glasgow,Scotland,G2 1QG
unclassified,West Nile Street,262,"85 West George Street, Glasgow, G2 1QG, Scotland",Glasgow,Scotland,G2 1QG
unclassified,West Nile Street,262,"85 West George Street, Glasgow, G2 1QG, Scotland",Glasgow,Scotland,G2 1QG
tertiary,Cleveden Road,934,"105-107 Cleveden Road, Glasgow, G12 0JU, Scotland",Glasgow,Scotland,G12 0JU
footway,,976,"3-5 Murray Place, Stirling, FK8 1DQ, Scotland",Stirling,Scotland,FK8 1DQ
tertiary,Cowgatehead,890,"13 Cowgatehead, Edinburgh, EH1 1JY, Scotland",Edinburgh,Scotland,EH1 1JY
footway,,636,"121 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH
footway,,945,"166 Buchanan Street, Glasgow, G1 2LW, Scotland",Glasgow,Scotland,G1 2LW
footway,,945,"166 Buchanan Street, Glasgow, G1 2LW, Scotland",Glasgow,Scotland,G1 2LW
footway,,945,"166 Buchanan Street, Glasgow, G1 2LW, Scotland",Glasgow,Scotland,G1 2LW
unclassified,George Street,447,"69 George Street, Edinburgh, EH2 2JG, Scotland",Edinburgh,Scotland,EH2 2JG
primary,Union Street,520,"159 Union Street, Aberdeen, AB11 6BB, Scotland",Aberdeen,Scotland,AB11 6BB
footway,,338,"116 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ
pedestrian,Grassmarket,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
secondary,Rosemount Viaduct,364,"13 Rosemount Viaduct, Aberdeen, AB25 1NE, Scotland",Aberdeen,Scotland,AB25 1NE
tertiary,George IV Bridge,172,"25 George Iv Bridge, Edinburgh, EH1 1EN, Scotland",Edinburgh,Scotland,EH1 1EN
tertiary,West Port,891,"11 West Port, Edinburgh, EH1 2JA, Scotland",Edinburgh,Scotland,EH1 2JA
unclassified,West George Street,262,"85 West George Street, Glasgow, G2 1QG, Scotland",Glasgow,Scotland,G2 1QG
primary,Queensferry Street,813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR
unclassified,King's Stables Road,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
unclassified,Frederick Street,168,"9-11 Frederick Street, Edinburgh, EH2 2EY, Scotland",Edinburgh,Scotland,EH2 2EY
unclassified,Frederick Street,516,"5 Frederick Street, Edinburgh, EH2 2EY, Scotland",Edinburgh,Scotland,EH2 2EY
footway,Geddes' Entry,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,,343,"5 Royal Exchange Square, Glasgow, G1 3AH, Scotland",Glasgow,Scotland,G1 3AH
unclassified,Stafford Street,817,"13 Stafford Street, Edinburgh, EH3 7BR, Scotland",Edinburgh,Scotland,EH3 7BR
tertiary,Dorchester Avenue,933,"164-170 Dorchester Avenue, Glasgow, G12 0DZ, Scotland",Glasgow,Scotland,G12 0DZ
footway,Haddon's Court,338,"116 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ
footway,Haddon's Court,338,"116 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ
unclassified,William Street,817,"13 Stafford Street, Edinburgh, EH3 7BR, Scotland",Edinburgh,Scotland,EH3 7BR
